file_1_file_1_g3794	ko:K06767
file_1_file_1_g3893	ko:K01792
file_1_file_1_g3894	ko:K17410
file_1_file_1_g3895	-
file_1_file_1_g3896	ko:K05475,ko:K05480,ko:K16678
file_1_file_1_g3897	ko:K05475,ko:K05480,ko:K16678
file_1_file_1_g3898	-
file_1_file_1_g3899	-
file_1_file_1_g3900	-
file_1_file_1_g3901	ko:K01669
file_1_file_1_g3902	ko:K18041
file_1_file_1_g3903	ko:K06700
file_1_file_1_g3904	ko:K17914
file_1_file_1_g3905	ko:K17914
file_1_file_1_g3906	ko:K17914
file_1_file_1_g3907	ko:K10408
file_1_file_1_g3908	ko:K10408
file_1_file_1_g3909	ko:K10408
file_1_file_1_g3910	-
file_1_file_1_g3911	-
file_1_file_1_g3912	-
file_2_134_g	-
file_1_file_1_g3913	-
file_1_file_1_g3914	ko:K19679
file_1_file_1_g3915	ko:K17964,ko:K19942
file_1_file_1_g3916	ko:K07941
file_1_file_1_g3917	-
file_1_file_1_g3918	-
file_1_file_1_g3922	-
file_1_file_1_g3923	-
file_1_file_1_g3924	-
file_1_file_1_g3926	ko:K01312,ko:K09640
file_1_file_1_g3927	ko:K01312,ko:K09640
file_1_file_1_g3928	ko:K01312,ko:K09640
file_1_file_1_g3929	ko:K01312,ko:K09640
file_1_file_1_g3930	ko:K01312,ko:K09640
file_1_file_1_g3931	ko:K14427
file_1_file_1_g3932	-
file_1_file_1_g3933	ko:K00078
file_1_file_1_g3935	ko:K00819
file_1_file_1_g3937	-
file_1_file_1_g3939	-
file_1_file_1_g3941	ko:K18160
file_1_file_1_g3942	-
file_1_file_1_g3943	ko:K03949
file_1_file_1_g3944	ko:K10631
file_1_file_1_g3945	ko:K04441
file_1_file_1_g3946	ko:K03962
file_1_file_1_g3947	ko:K14191
file_1_file_1_g3948	ko:K18727,ko:K18752
file_1_file_1_g3949	ko:K19489
file_1_file_1_g3950	ko:K10777,ko:K15201
file_2_169_g	ko:K10777,ko:K15201
file_1_file_1_g3951	ko:K10265
file_1_file_1_g3952	ko:K09208
file_1_file_1_g3953	-
file_1_file_1_g3954	-
file_1_file_1_g3955	-
file_1_file_1_g3957	-
file_1_file_1_g3958	-
file_1_file_1_g3959	-
file_1_file_1_g3960	-
file_1_file_2_181_g	-
file_1_file_1_g3961	-
file_1_file_1_g3962	ko:K04860,ko:K04861
file_1_file_1_g3963	ko:K04860,ko:K04861
file_1_file_1_g3964	ko:K02835
file_1_file_1_g3968	ko:K09395,ko:K09411
file_1_file_1_g3969	ko:K09395,ko:K09411
file_1_file_1_g3970	ko:K09395,ko:K09411
file_1_file_1_g3971	ko:K02906,ko:K03522
file_1_file_1_g3972	ko:K01441,ko:K04711
file_1_file_1_g3974	ko:K11887
file_1_file_1_g3975	ko:K17929
file_1_file_1_g3976	ko:K00417
file_1_file_1_g3977	ko:K10105
file_1_file_1_g3978	-
file_1_file_1_g3979	-
file_1_file_1_g3980	ko:K17512
file_1_file_1_g3981	-
file_1_file_1_g3982	-
file_1_file_1_g3983	ko:K12598
file_1_file_1_g3984	ko:K04860,ko:K04861
file_1_file_1_g3987	ko:K06225,ko:K11101
file_1_file_1_g3988	ko:K10589
file_1_file_1_g3989	ko:K00682
file_1_file_1_g3990	ko:K04527,ko:K05087
file_1_file_1_g3991	ko:K13130
file_1_file_1_g3992	ko:K10901
file_1_file_1_g3994	ko:K13983,ko:K18422,ko:K18432
file_1_file_1_g3995	-
file_1_file_1_g3996	-
file_1_file_1_g3997	-
file_1_file_1_g4000	-
file_1_file_1_g4001	-
file_1_file_1_g4004	-
file_1_file_1_g4006	-
file_1_file_1_g4007	ko:K04810,ko:K04811,ko:K05312
file_1_file_1_g4009	-
file_1_file_1_g4010	ko:K02449
file_1_file_1_g4011	ko:K21286
file_1_file_1_g4013	ko:K07023
file_1_file_1_g4014	-
file_1_file_1_g4016	ko:K14353,ko:K14356
file_1_file_1_g4018	ko:K09565
file_1_file_1_g4019	ko:K15445,ko:K17654
file_1_file_1_g4020	-
file_1_file_1_g4021	ko:K03250
file_1_file_1_g4023	ko:K03250
file_1_file_2_241_g	ko:K03250
file_1_file_1_g4024	ko:K17434
file_1_file_1_g4025	ko:K11593
file_1_file_1_g4026	-
file_1_file_1_g4027	ko:K09239
file_1_file_1_g4028	ko:K00940
file_1_file_1_g4029	ko:K00940
file_1_file_1_g4030	-
file_1_file_1_g4031	-
file_1_file_1_g4032	-
file_1_file_1_g4033	ko:K01316,ko:K09614
file_1_file_1_g4034	-
file_1_file_1_g4035	ko:K17261
file_1_file_1_g4036	-
file_1_file_1_g4037	ko:K00763
file_1_file_1_g4038	-
file_1_file_1_g4039	ko:K16687
file_1_file_1_g4040	ko:K16687
file_1_file_1_g4041	ko:K01229,ko:K05350
file_1_file_1_g4043	ko:K15001
file_1_file_1_g4044	ko:K15001
file_1_file_1_g4048	ko:K15001
file_1_file_1_g4049	ko:K15001
file_1_file_1_g4050	ko:K15001
file_1_file_1_g4051	ko:K15001
file_1_file_1_g4052	ko:K01425
file_1_file_1_g4053	ko:K17407
file_1_file_1_g4054	ko:K14328
file_1_file_1_g4055	ko:K00232
file_1_file_1_g4056	ko:K13164
file_1_file_2_279_g	ko:K13164
file_1_file_1_g4058	-
file_1_file_1_g4059	-
file_1_file_1_g4061	-
file_1_file_1_g4062	ko:K14648
file_1_file_1_g4063	-
file_1_file_1_g4064	ko:K10737,ko:K14648
file_1_file_1_g4065	ko:K10737
file_1_file_1_g4066	ko:K10408
file_1_file_1_g4067	-
file_1_file_1_g4069	-
file_1_file_1_g4070	ko:K03943
file_1_file_1_g4071	ko:K03936
file_1_file_1_g4072	ko:K00237,ko:K09518
file_1_file_1_g4073	-
file_1_file_1_g4074	ko:K05397
file_1_file_1_g4077	ko:K06254
file_1_file_1_g4078	ko:K06254
file_1_file_1_g4080	-
file_1_file_1_g4081	ko:K11367,ko:K20091
file_1_file_1_g4082	ko:K06254
file_1_file_1_g4083	-
file_1_file_1_g4084	ko:K06254
file_1_file_1_g4085	-
file_1_file_1_g4087	ko:K06841,ko:K06842
file_1_file_1_g4088	-
file_1_file_2_312_g	-
file_1_file_1_g4089	-
file_1_file_1_g4090	ko:K05285,ko:K06626
file_1_file_1_g4091	-
file_1_file_1_g4092	ko:K05767,ko:K16848
file_1_file_1_g4093	-
file_1_file_1_g4094	ko:K03213
file_1_file_1_g4096	-
file_1_file_1_g4097	-
file_1_file_1_g4098	-
file_1_file_1_g4099	ko:K10258
file_1_file_1_g4100	ko:K09414
file_1_file_1_g4101	ko:K10275
file_1_file_1_g4106	-
file_1_file_1_g4107	-
file_1_file_1_g4108	-
file_1_file_1_g4109	ko:K15620
file_1_file_1_g4110	ko:K01304,ko:K15013
file_1_file_1_g4111	ko:K06095
file_1_file_1_g4112	ko:K10666
file_1_file_1_g4113	ko:K08134,ko:K19606,ko:K22461
file_1_file_1_g4114	ko:K08134,ko:K19606,ko:K22461
file_1_file_1_g4115	-
file_1_file_1_g4116	-
file_1_file_1_g4117	-
file_1_file_1_g4118	-
file_1_file_1_g4119	-
file_1_file_1_g4121	-
file_1_file_1_g4123	ko:K04809,ko:K05312
file_1_file_1_g4124	ko:K05312
file_1_file_1_g4125	ko:K03006
file_1_file_1_g4126	ko:K11969
file_1_file_1_g4127	ko:K00850
file_1_file_1_g4129	-
file_1_file_1_g4130	-
file_1_file_1_g4132	-
file_1_file_1_g4133	-
file_1_file_1_g4134	ko:K12350
file_1_file_1_g4135	ko:K22402
file_1_file_1_g4136	-
file_1_file_1_g4137	ko:K09275
file_1_file_1_g4138	ko:K09275
file_1_file_1_g4139	-
file_1_file_1_g4142	-
file_1_file_1_g4144	ko:K15410
file_1_file_1_g4145	ko:K03097
file_1_file_1_g4146	ko:K09097,ko:K15589
file_1_file_1_g4147	ko:K00774
file_1_file_1_g4148	ko:K07378
file_1_file_1_g4149	ko:K12833
file_1_file_1_g4150	ko:K18405
file_1_file_1_g4151	ko:K18405
file_1_file_1_g4152	ko:K13126
file_1_file_1_g4153	ko:K14785
file_1_file_1_g4154	-
file_1_file_1_g4155	ko:K17563
file_1_file_1_g4157	ko:K04232
file_1_file_1_g4159	-
file_1_file_1_g4160	ko:K10580
file_1_file_1_g4161	ko:K04531,ko:K20055
file_1_file_1_g4162	-
file_1_file_1_g4163	ko:K20822
file_1_file_1_g4164	ko:K05643
file_1_file_1_g4169	-
file_1_file_1_g4172	-
file_1_file_1_g4180	ko:K14353
file_1_file_2_406_g	ko:K00857,ko:K05961
file_1_file_1_g4183	ko:K00857,ko:K05961
file_1_file_1_g4184	ko:K09584
file_1_file_1_g4185	-
file_1_file_1_g4186	ko:K12666
file_1_file_1_g4187	ko:K18674
file_1_file_1_g4188	-
file_1_file_1_g4189	ko:K00232,ko:K10214
file_1_file_1_g4190	ko:K02885
file_1_file_1_g4191	ko:K00232,ko:K10214
file_1_file_1_g4192	ko:K00232,ko:K10214
file_1_file_1_g4193	ko:K00232,ko:K10214
file_1_file_1_g4194	ko:K00232,ko:K10214
file_1_file_1_g4195	ko:K19404
file_1_file_1_g4196	-
file_1_file_1_g4197	-
file_1_file_1_g4198	ko:K10442
file_1_file_1_g4199	ko:K09500
file_1_file_1_g4200	-
file_1_file_1_g4201	ko:K02137
file_1_file_1_g4202	ko:K03242,ko:K11419
file_1_file_1_g4203	ko:K10612
file_1_file_1_g4204	ko:K11875
file_1_file_1_g4205	ko:K21554
file_1_file_1_g4206	ko:K00308,ko:K12259
file_1_file_1_g4207	ko:K17817
file_1_file_1_g4208	-
file_1_file_1_g4209	-
file_1_file_1_g4213	-
file_1_file_1_g4214	ko:K21246
file_1_file_1_g4215	-
file_1_file_1_g4216	-
file_1_file_1_g4217	ko:K16336
file_1_file_1_g4219	ko:K01052
file_1_file_1_g4220	ko:K22255
file_1_file_1_g4221	ko:K21396
file_1_file_1_g4222	ko:K21396
file_1_file_1_g4223	ko:K07918,ko:K07923
file_1_file_1_g4224	ko:K07918,ko:K07923
file_1_file_1_g4225	ko:K15115
file_1_file_1_g4226	ko:K00414,ko:K17732
file_1_file_1_g4227	ko:K20290
file_1_file_1_g4228	ko:K20290
file_1_file_1_g4231	-
file_1_file_1_g4232	-
file_1_file_1_g4233	-
file_1_file_1_g4234	ko:K03098
file_1_file_1_g4235	ko:K03098
file_1_file_1_g4236	-
file_1_file_1_g4241	-
file_1_file_1_g4242	ko:K05128
file_1_file_1_g4243	ko:K17597
file_1_file_2_478_g	ko:K00504,ko:K18200
file_1_file_1_g4244	ko:K00504,ko:K18200
file_1_file_1_g4247	ko:K08202
file_1_file_1_g4248	-
file_1_file_1_g4249	ko:K04454,ko:K09260
file_1_file_2_485_g	-
file_1_file_1_g4250	-
file_1_file_1_g4251	-
file_1_file_1_g4252	ko:K08801
file_1_file_1_g4253	ko:K01322
file_1_file_1_g4255	ko:K14311
file_1_file_1_g4256	ko:K00939
file_1_file_1_g4257	ko:K20685
file_1_file_1_g4258	ko:K20685
file_1_file_1_g4259	-
file_1_file_1_g4261	ko:K00750
file_1_file_1_g4262	ko:K05128
file_1_file_1_g4263	-
file_1_file_1_g4264	-
file_1_file_1_g4267	-
file_1_file_1_g4269	-
file_1_file_2_505_g	-
file_1_file_1_g4270	-
file_1_file_1_g4271	-
file_1_file_1_g4272	ko:K15143
file_1_file_2_510_g	-
file_1_file_1_g4273	-
file_1_file_1_g4275	ko:K12891
file_1_file_1_g4276	-
file_1_file_1_g4277	-
file_1_file_1_g4278	-
file_1_file_1_g4279	-
file_1_file_1_g4280	ko:K17597
file_1_file_1_g4281	ko:K06279,ko:K17447,ko:K17448,ko:K17449
file_1_file_1_g4282	-
file_1_file_1_g4283	ko:K01007
file_1_file_1_g4284	-
file_1_file_1_g4285	-
file_1_file_1_g4287	ko:K11674
file_1_file_1_g4288	ko:K17423
file_1_file_1_g4289	ko:K14165,ko:K17614
file_1_file_1_g4290	-
file_1_file_1_g4292	ko:K06279,ko:K17447,ko:K17448,ko:K17449
file_1_file_1_g4294	-
file_1_file_1_g4295	-
file_1_file_1_g4296	-
file_1_file_1_g4300	-
file_1_file_1_g4301	ko:K19774
file_1_file_1_g4302	-
file_1_file_1_g4303	-
file_1_file_1_g4304	-
file_1_file_1_g4305	-
file_1_file_1_g4306	ko:K11173
file_1_file_1_g4307	ko:K12488
file_1_file_1_g4310	ko:K20187
file_1_file_1_g4311	ko:K20187
file_1_file_1_g4313	ko:K14381
file_1_file_1_g4314	ko:K12589
file_1_file_1_g4315	ko:K14388,ko:K17391
file_1_file_1_g4316	ko:K14388,ko:K17391
file_1_file_1_g4317	-
file_1_file_1_g4318	-
file_1_file_1_g4320	-
file_1_file_1_g4321	-
file_1_file_1_g4322	ko:K20823
file_1_file_1_g4323	ko:K20823
file_1_file_1_g4324	-
file_1_file_1_g4325	-
file_1_file_1_g4326	-
file_1_file_1_g4327	-
file_1_file_1_g4328	-
file_1_file_1_g4329	-
file_1_file_1_g4330	-
file_1_file_1_g4331	-
file_1_file_1_g4332	-
file_1_file_1_g4334	ko:K01768
file_1_file_1_g4338	ko:K16351,ko:K16358
file_1_file_1_g4339	-
file_1_file_2_576_g	-
file_1_file_1_g4340	ko:K08471
file_1_file_2_578_g	ko:K08471
file_1_file_1_g4341	ko:K08471
file_1_file_1_g4342	ko:K08471
file_1_file_1_g4343	ko:K15407
file_1_file_1_g4344	ko:K20053
file_1_file_1_g4346	ko:K08145
file_1_file_2_584_g	ko:K08145
file_1_file_1_g4347	ko:K08145
file_1_file_1_g4348	ko:K01229,ko:K05350
file_1_file_1_g4349	ko:K09273,ko:K12041
file_1_file_1_g4350	ko:K09273,ko:K12041
file_1_file_1_g4351	-
file_1_file_1_g4353	-
file_1_file_1_g4354	ko:K18626
file_1_file_1_g4355	ko:K16186
file_1_file_1_g4356	ko:K15728
file_1_file_1_g4357	ko:K15728
file_1_file_1_g4358	ko:K14815
file_1_file_1_g4359	ko:K06630,ko:K16197
file_1_file_1_g4360	-
file_1_file_1_g4361	-
file_1_file_1_g4362	ko:K01672,ko:K18245
file_1_file_1_g4363	ko:K11577
file_1_file_1_g4364	ko:K21439
file_1_file_1_g4366	ko:K14807
file_1_file_1_g4367	ko:K02941,ko:K17263
file_1_file_1_g4368	ko:K02941,ko:K17263
file_1_file_1_g4369	ko:K17785
file_1_file_1_g4370	ko:K05304
file_1_file_1_g4371	ko:K01640
file_1_file_1_g4372	ko:K01640
file_1_file_1_g4373	ko:K12484
file_1_file_1_g4375	-
file_1_file_1_g4377	-
file_1_file_1_g4378	-
file_1_file_1_g4379	ko:K13151
file_1_file_1_g4380	ko:K13143,ko:K13180
file_1_file_1_g4383	-
file_1_file_1_g4385	-
file_1_file_1_g4387	-
file_1_file_1_g4388	-
file_1_file_1_g4390	ko:K00774,ko:K05868,ko:K21770
file_1_file_1_g4391	ko:K00942
file_1_file_1_g4392	-
file_1_file_1_g4393	-
file_1_file_1_g4394	-
file_1_file_1_g4395	ko:K01312,ko:K09640
file_1_file_1_g4396	-
file_1_file_1_g4397	ko:K01312,ko:K09640
file_1_file_2_642_g	-
file_1_file_1_g4399	-
file_1_file_1_g4400	ko:K01312,ko:K09640
file_1_file_1_g4401	ko:K01312,ko:K09640
file_1_file_1_g4402	ko:K01312,ko:K09640
file_1_file_1_g4403	-
file_1_file_1_g4404	ko:K08834,ko:K17481
file_1_file_1_g4406	ko:K18763
file_1_file_1_g4409	ko:K16944
file_1_file_1_g4410	ko:K16944
file_1_file_1_g4412	-
file_1_file_1_g4415	-
file_1_file_1_g4416	ko:K07837,ko:K07838,ko:K07839
file_1_file_1_g4417	ko:K08059
file_1_file_1_g4419	-
file_1_file_1_g4420	ko:K08145,ko:K14258
file_1_file_1_g4421	ko:K08145,ko:K14258
file_1_file_1_g4422	ko:K10611
file_1_file_1_g4424	ko:K13146
file_1_file_1_g4425	-
file_1_file_1_g4426	ko:K05293
file_1_file_1_g4427	-
file_1_file_1_g4430	ko:K01310,ko:K09615,ko:K09628
file_1_file_1_g4431	ko:K08789,ko:K16309
file_1_file_1_g4433	ko:K12840
file_1_file_1_g4434	ko:K08059
file_1_file_1_g4435	-
file_1_file_1_g4436	-
file_1_file_1_g4438	ko:K12839
file_1_file_1_g4439	ko:K14428
file_1_file_1_g4440	ko:K04927,ko:K04929,ko:K04930
file_1_file_1_g4441	ko:K15181
file_1_file_1_g4442	ko:K13206
file_1_file_1_g4444	ko:K02366,ko:K21988
file_1_file_1_g4445	ko:K02366,ko:K21988
file_1_file_1_g4446	-
file_1_file_1_g4447	-
file_1_file_1_g4448	ko:K02873
file_1_file_1_g4449	ko:K00671
file_1_file_1_g4450	-
file_1_file_1_g4451	-
file_1_file_1_g4452	ko:K06626
file_1_file_1_g4453	-
file_1_file_1_g4455	-
file_1_file_1_g4456	ko:K10389
file_1_file_1_g4457	-
file_1_file_1_g4458	ko:K12176
file_1_file_1_g4459	ko:K10808
file_1_file_1_g4460	ko:K12667
file_1_file_1_g4461	ko:K02140
file_1_file_1_g4462	ko:K17408
file_1_file_1_g4463	ko:K17560
file_1_file_1_g4464	ko:K20473
file_1_file_1_g4466	ko:K02948
file_1_file_1_g4467	ko:K17866
file_1_file_1_g4468	-
file_1_file_1_g4469	ko:K17866
file_1_file_1_g4470	ko:K01112
file_1_file_1_g4471	-
file_1_file_1_g4472	-
file_1_file_1_g4473	-
file_1_file_1_g4474	ko:K17606
file_1_file_1_g4476	ko:K20639
file_1_file_1_g4477	ko:K20639
file_1_file_1_g4478	ko:K14305
file_1_file_1_g4479	-
file_1_file_1_g4480	-
file_1_file_1_g4481	-
file_1_file_1_g4482	-
file_1_file_1_g4484	-
file_1_file_1_g4485	ko:K02734
file_1_file_1_g4486	ko:K08220
file_1_file_1_g4487	ko:K08220
file_1_file_1_g4488	-
file_1_file_1_g4489	-
file_1_file_1_g4490	-
file_1_file_1_g4491	ko:K08809,ko:K12567,ko:K17341
file_1_file_1_g4492	ko:K10687
file_1_file_1_g4493	ko:K12189
file_1_file_1_g4494	ko:K14354
file_1_file_1_g4496	ko:K19760
file_1_file_1_g4497	ko:K01285
file_1_file_1_g4498	-
file_1_file_1_g4499	ko:K03012,ko:K11314
file_1_file_1_g4500	ko:K09507,ko:K09510,ko:K09511
file_1_file_1_g4501	-
file_1_file_1_g4502	-
file_1_file_1_g4504	ko:K12164
file_1_file_2_745_g	ko:K12164
file_1_file_1_g4507	ko:K08741
file_1_file_1_g4508	ko:K12959
file_1_file_1_g4509	-
file_1_file_1_g4510	-
file_1_file_1_g4513	ko:K09091
file_1_file_1_g4514	-
file_1_file_2_754_g	-
file_1_file_1_g4515	-
file_1_file_1_g4516	ko:K04412
file_1_file_1_g4517	-
file_1_file_1_g4522	-
file_1_file_1_g4523	-
file_1_file_1_g4524	ko:K09542
file_1_file_1_g4526	-
file_1_file_1_g4527	-
file_1_file_1_g4528	-
file_1_file_1_g17265	-
file_1_file_1_g17266	-
file_1_file_1_g17267	-
file_1_file_1_g17269	-
file_1_file_1_g17270	-
file_1_file_1_g17271	-
file_1_file_1_g17272	ko:K02374,ko:K18039
file_1_file_1_g17273	ko:K04077
file_1_file_1_g17274	ko:K00856
file_1_file_1_g17275	ko:K11305,ko:K11306
file_1_file_1_g17276	ko:K10281
file_1_file_1_g17277	ko:K08471
file_1_file_1_g17278	ko:K18626
file_1_file_1_g17279	-
file_1_file_1_g17280	-
file_1_file_2_6297_g	-
file_1_file_1_g17281	-
file_1_file_1_g17282	ko:K08471
file_1_file_1_g17283	ko:K08471
file_1_file_1_g17285	-
file_1_file_1_g17286	-
file_1_file_1_g17288	-
file_1_file_1_g17289	-
file_1_file_1_g17290	ko:K18667
file_1_file_1_g17291	ko:K14861
file_1_file_1_g17292	-
file_1_file_1_g17293	-
file_1_file_1_g17294	ko:K21435
file_1_file_2_6313_g	-
file_1_file_1_g17295	-
file_1_file_1_g17296	-
file_1_file_1_g17297	ko:K02976
file_1_file_1_g17298	ko:K12163
file_1_file_1_g17299	ko:K00915
file_1_file_1_g17300	ko:K00022
file_1_file_1_g17301	ko:K00022
file_1_file_1_g17302	ko:K00022
file_1_file_1_g17303	ko:K03133,ko:K14535
file_1_file_1_g17304	ko:K02375,ko:K02842,ko:K04690
file_1_file_1_g17305	-
file_1_file_1_g17307	ko:K18667
file_1_file_1_g17308	-
file_1_file_1_g17309	ko:K01611,ko:K15203
file_1_file_1_g17310	ko:K01611,ko:K15203
file_1_file_1_g17312	ko:K19176
file_1_file_1_g17313	ko:K19176
file_1_file_1_g17314	ko:K01835,ko:K15636
file_1_file_1_g17315	ko:K14995
file_1_file_1_g17316	ko:K02260
file_1_file_1_g17317	ko:K18756
file_1_file_1_g17318	ko:K08193,ko:K12301
file_1_file_1_g17319	ko:K08193,ko:K12301
file_1_file_1_g17320	ko:K08193,ko:K12301
file_1_file_1_g17321	-
file_1_file_2_6337_g	ko:K17543
file_1_file_1_g17322	ko:K17543
file_1_file_1_g17324	ko:K07858,ko:K07859
file_1_file_1_g17326	ko:K11518
file_1_file_1_g17327	ko:K06287
file_1_file_1_g17328	ko:K08592
file_1_file_1_g17331	ko:K15172
file_1_file_1_g17332	ko:K09871,ko:K09884
file_1_file_1_g17334	ko:K14320
file_1_file_1_g17336	-
file_1_file_1_g17337	-
file_1_file_1_g17340	ko:K10736
file_1_file_1_g17341	ko:K01951
file_1_file_1_g17342	ko:K03061
file_1_file_1_g17343	-
file_1_file_1_g17344	-
file_1_file_1_g17345	ko:K01555
file_1_file_1_g17346	-
file_1_file_1_g17347	-
file_1_file_1_g17348	ko:K14763
file_1_file_1_g17349	ko:K17550
file_1_file_1_g17350	ko:K01858
file_1_file_1_g17351	ko:K06069,ko:K18952
file_1_file_1_g17353	-
file_1_file_1_g17354	-
file_1_file_1_g17355	ko:K06069
file_1_file_1_g17356	ko:K10365
file_1_file_1_g17357	-
file_1_file_1_g17359	ko:K03263
file_1_file_1_g17362	-
file_1_file_1_g17363	-
file_1_file_1_g17364	ko:K11269
file_1_file_1_g17365	ko:K11716,ko:K19929
file_1_file_1_g17366	ko:K07205,ko:K18644,ko:K18645
file_1_file_1_g17367	ko:K15116,ko:K21403
file_1_file_1_g17368	ko:K10885
file_1_file_1_g17370	-
file_1_file_1_g17371	ko:K18406
file_1_file_1_g17372	ko:K18406
file_1_file_1_g17373	-
file_1_file_1_g17374	-
file_1_file_1_g17375	ko:K21970
file_1_file_1_g17376	ko:K08193
file_1_file_1_g17377	ko:K08193
file_1_file_1_g17378	ko:K15084
file_1_file_1_g17379	ko:K04382,ko:K22074
file_1_file_1_g17380	ko:K14753
file_1_file_1_g17381	ko:K01597
file_1_file_1_g17382	ko:K05748,ko:K05753,ko:K06083,ko:K06220
file_1_file_1_g17383	-
file_1_file_1_g17384	ko:K11345,ko:K11346
file_1_file_1_g17385	-
file_1_file_1_g17386	-
file_1_file_1_g17387	-
file_1_file_1_g17389	-
file_1_file_1_g17390	-
file_1_file_1_g17391	ko:K14314
file_1_file_1_g17392	ko:K07966,ko:K07967,ko:K07968
file_1_file_1_g17394	ko:K20179
file_1_file_1_g17395	ko:K20179
file_1_file_1_g17396	ko:K20179
file_1_file_1_g17397	ko:K10392
file_1_file_1_g17398	ko:K10392
file_1_file_1_g17400	ko:K04564
file_1_file_1_g17401	ko:K15116
file_1_file_1_g17402	ko:K15116
file_1_file_1_g17403	-
file_1_file_1_g17404	ko:K00700
file_1_file_1_g17405	ko:K17422
file_1_file_1_g17406	ko:K00858
file_1_file_1_g17408	ko:K01103
file_1_file_1_g17410	-
file_1_file_1_g17411	ko:K00134,ko:K10705
file_1_file_1_g17412	ko:K00134,ko:K10705
file_1_file_1_g17413	ko:K00134,ko:K10705
file_1_file_1_g17414	ko:K20068
file_1_file_1_g17415	ko:K02354,ko:K02842
file_1_file_1_g17416	ko:K02354,ko:K02842
file_1_file_1_g17417	ko:K11830
file_1_file_1_g17418	ko:K22385
file_1_file_1_g17419	ko:K10752
file_1_file_1_g17420	-
file_1_file_1_g17421	ko:K15348
file_1_file_1_g17422	ko:K10392
file_1_file_1_g17424	-
file_1_file_1_g17425	-
file_1_file_1_g17426	ko:K09215
file_1_file_1_g17427	ko:K09437,ko:K09443
file_1_file_1_g17428	ko:K09215
file_1_file_1_g17430	ko:K09215
file_1_file_1_g17431	-
file_1_file_1_g17432	-
file_1_file_1_g17433	-
file_1_file_1_g17434	ko:K04169
file_1_file_1_g17440	-
file_1_file_1_g17441	ko:K19363
file_1_file_1_g17442	ko:K19970
file_1_file_1_g17443	ko:K11426
file_1_file_1_g17444	-
file_1_file_1_g17447	ko:K07378
file_1_file_1_g17448	ko:K07378
file_1_file_1_g17449	ko:K00503
file_1_file_1_g17450	-
file_1_file_1_g17451	ko:K00503
file_1_file_1_g17452	-
file_1_file_1_g17454	ko:K02156
file_1_file_1_g17455	ko:K22074
